atr0, atr2, atr3, atr4, atr5, atr6, atr7, atr8, atr9, Class
1, 0, 0, 0, 2, 1, 2, 0, 0, 3
1, 0, 0, 0, 2, 0, 2, 1, 0, 3
1, 0, 0, 0, 2, 0, 2, 0, 1, 3
0, 1, 1, 0, 2, 0, 2, 0, 0, 3
0, 1, 0, 1, 2, 0, 2, 0, 0, 3
0, 1, 0, 0, 2, 1, 2, 0, 0, 3
0, 1, 0, 0, 2, 0, 2, 1, 0, 3
0, 1, 0, 0, 2, 0, 2, 0, 1, 3
0, 0, 1, 1, 2, 0, 2, 0, 0, 3
0, 0, 1, 0, 2, 1, 2, 0, 0, 3
0, 0, 1, 0, 2, 0, 2, 1, 0, 3
0, 0, 1, 0, 2, 0, 2, 0, 1, 3
0, 0, 0, 1, 2, 1, 2, 0, 0, 3
0, 0, 0, 1, 2, 0, 2, 1, 0, 3
0, 0, 0, 1, 2, 0, 2, 0, 1, 3
0, 0, 0, 0, 2, 1, 2, 1, 0, 3
0, 0, 0, 0, 2, 1, 2, 0, 1, 3
0, 0, 0, 0, 2, 0, 2, 1, 1, 3
0, 0, 0, 0, 2, 1, 0, 2, 1, 3
0, 0, 0, 0, 2, 0, 1, 2, 1, 3
1, 0, 0, 0, 0, 0, 0, 0, 0, 3
1, 0, 2, 0, 0, 0, 0, 0, 0, 3
0, 1, 0, 0, 0, 0, 0, 0, 0, 3
0, 0, 1, 0, 0, 0, 0, 0, 0, 3
0, 0, 0, 1, 0, 0, 0, 0, 0, 3
0, 0, 0, 0, 1, 0, 0, 0, 0, 3
0, 0, 0, 0, 0, 1, 0, 0, 0, 3
0, 0, 0, 0, 0, 0, 1, 0, 0, 3
0, 0, 0, 0, 0, 0, 0, 1, 0, 3
0, 0, 0, 0, 0, 0, 0, 0, 1, 3
0, 1, 2, 0, 0, 0, 0, 0, 0, 3
0, 0, 1, 2, 0, 0, 0, 0, 0, 3
0, 0, 0, 1, 2, 0, 0, 0, 0, 3
0, 0, 0, 0, 1, 2, 0, 0, 0, 3
0, 0, 0, 0, 0, 1, 2, 0, 0, 3
0, 0, 0, 0, 0, 0, 1, 2, 0, 3
0, 0, 0, 0, 0, 0, 0, 1, 2, 3
0, 0, 0, 0, 0, 0, 0, 2, 1, 3
1, 1, 2, 0, 0, 0, 0, 0, 0, 3
1, 0, 1, 2, 0, 0, 0, 0, 0, 3
1, 0, 0, 1, 2, 0, 0, 0, 0, 3
1, 0, 0, 0, 1, 2, 0, 0, 0, 3
1, 0, 0, 0, 0, 1, 2, 0, 0, 3
1, 0, 0, 0, 0, 0, 1, 2, 0, 3
1, 0, 0, 0, 0, 0, 0, 1, 2, 3
1, 0, 0, 0, 0, 0, 0, 2, 1, 3
0, 1, 1, 0, 1, 0, 0, 2, 2, 3
1, 1, 0, 1, 0, 0, 2, 0, 2, 3
2, 0, 1, 0, 1, 0, 0, 1, 2, 3
1, 1, 0, 1, 2, 0, 0, 2, 0, 3
1, 0, 1, 0, 0, 2, 2, 0, 1, 3
1, 2, 1, 0, 2, 0, 0, 1, 0, 3
2, 1, 1, 0, 1, 0, 0, 0, 2, 3
1, 0, 0, 2, 0, 0, 0, 0, 2, 3
1, 0, 0, 0, 0, 1, 0, 1, 2, 3
1, 0, 0, 0, 2, 0, 0, 0, 0, 3
1, 2, 2, 0, 0, 0, 0, 0, 0, 3
1, 0, 0, 0, 0, 0, 0, 0, 2, 3
1, 0, 0, 0, 0, 0, 2, 0, 0, 3
1, 0, 0, 0, 1, 0, 0, 0, 0, 3
1, 2, 0, 0, 0, 0, 0, 0, 0, 3
0, 0, 0, 0, 0, 0, 0, 0, 2, 3
0, 0, 0, 0, 0, 0, 0, 2, 0, 3
0, 0, 0, 0, 0, 2, 0, 0, 0, 3
0, 0, 0, 0, 2, 0, 0, 0, 0, 3
0, 0, 0, 2, 0, 0, 0, 0, 0, 3
0, 0, 2, 0, 0, 0, 0, 0, 0, 3
0, 2, 0, 0, 0, 0, 0, 0, 0, 3
2, 0, 0, 0, 0, 0, 0, 0, 0, 3
1, 0, 0, 0, 0, 0, 1, 0, 0, 3
2, 0, 0, 0, 0, 0, 0, 0, 1, 3
0, 1, 0, 0, 0, 0, 0, 1, 0, 3
0, 0, 0, 1, 2, 1, 0, 0, 0, 3
0, 0, 1, 0, 0, 0, 1, 0, 0, 3
0, 1, 0, 0, 0, 0, 0, 2, 0, 3
1, 1, 0, 0, 0, 0, 0, 0, 0, 3
